# {"t_start": 1546857630.5430043, "env_id": "OneShotGo-v0"} 
r,l,t
64.963373,100,1.002295
64.487535,100,1.102226
65.127732,100,1.200158
65.045552,100,1.297088
65.045552,100,1.394021
64.536781,100,1.490951
64.017544,100,1.587883
65.045552,100,1.684824
64.312096,100,1.781748
64.52847,100,1.878678
63.732102,100,1.97761
64.273192,100,2.07454
65.045552,100,2.17347
64.51739,100,2.272405
65.045552,100,2.369334
65.045552,100,2.467265
64.51739,100,2.565195
64.312096,100,2.662128
64.345719,100,2.760057
64.229917,100,2.859989
64.963373,100,4.425887
64.719175,100,4.524817
64.363999,100,4.623747
64.405355,100,4.721678
64.636996,100,4.820608
63.31382,100,4.91854
64.021237,100,5.015471
62.50791,100,5.113402
65.127732,100,5.210333
64.51739,100,5.309264
64.054971,100,5.407195
65.003958,100,5.505126
64.801354,100,5.602058
64.719175,100,5.699988
64.000308,100,5.79792
63.405848,100,5.895851
63.8237,100,5.993783
64.63558,100,6.091714
65.045552,100,6.189643
64.216374,100,6.287575
63.671899,100,7.80251
64.636996,100,7.903437
63.57711,100,8.000369
64.334257,100,8.0983
64.636996,100,8.196232
64.599569,100,8.294162
65.045552,100,8.39809
64.44783,100,8.498033
65.127732,100,8.595951
63.836257,100,8.69588
63.837488,100,8.79381
63.985719,100,8.892741
63.828624,100,8.990674
64.317021,100,9.088603
63.754078,100,9.206522
64.000308,100,9.327435
64.438904,100,9.423368
65.045552,100,9.522299
65.045552,100,9.624229
63.69683,100,9.724157
64.636996,100,9.82209
63.4988,100,11.361007
63.877193,100,11.458934
64.495186,100,11.562861
63.152047,100,11.697767
64.668821,100,11.799695
64.599569,100,11.898624
64.172669,100,12.000553
64.290859,100,12.098485
63.559126,100,12.203411
64.599569,100,12.308336
64.51739,100,12.411264
64.446291,100,12.509197
63.160542,100,12.607126
64.719175,100,12.706057
64.283472,100,12.804988
63.336473,100,12.903918
64.698061,100,13.00185
63.86365,100,13.099779
65.127732,100,13.19871
64.719175,100,13.29864
63.4988,100,14.819569
64.530009,100,14.923497
64.505386,100,15.022425
64.881194,100,15.121356
64.963373,100,15.221287
63.660819,100,15.32821
64.793167,100,15.431139
63.926439,100,15.533067
64.719175,100,15.637994
63.4988,100,15.737923
64.394275,100,15.839852
64.612188,100,15.93978
64.815636,100,16.03971
64.51739,100,16.136641
64.069129,100,16.235573
64.149418,100,16.334502
65.045552,100,16.450421
64.599569,100,16.549352
64.082979,100,16.647282
64.801354,100,16.744216
64.454601,100,16.842144
65.127732,100,18.359079
64.586642,100,18.458007
63.692829,100,18.555939
63.812127,100,18.653871
63.362265,100,18.751801
64.05848,100,18.849732
64.52847,100,18.946664
63.50988,100,19.044594
64.963373,100,19.141528
64.067898,100,19.238458
64.814751,100,19.335391
65.127732,100,19.432322
64.408751,100,19.529255
65.045552,100,19.626186
63.61896,100,19.723118
63.432625,100,19.820049
65.045552,100,19.916981
62.007387,100,20.01691
63.95137,100,20.113842
65.045552,100,20.211774
63.314558,100,21.70972
63.579255,100,21.809649
64.815636,100,21.910578
64.801354,100,22.011508
63.985534,100,22.109437
65.127732,100,22.208368
65.045552,100,22.306298
65.045552,100,22.40624
61.892275,100,22.506159
63.43121,100,22.606087
64.599569,100,22.706017
65.045552,100,22.805948
63.866113,100,22.902879
64.327178,100,22.999811
64.963373,100,23.09874
64.963373,100,23.198671
63.671899,100,23.299601
65.045552,100,23.39853
64.51739,100,23.49946
65.045552,100,23.600386
65.127732,100,23.700317
64.536781,100,25.217251
64.476454,100,25.317178
65.127732,100,25.416109
65.003958,100,25.51404
64.881194,100,25.612971
65.127732,100,25.710902
64.44783,100,25.807834
64.599569,100,25.905767
64.496153,100,26.003695
64.719175,100,26.100629
63.321945,100,26.19856
63.959372,100,26.29649
64.394275,100,26.393421
63.093752,100,26.491352
63.171745,100,26.588285
64.273192,100,26.686216
64.599569,100,26.783147
64.536781,100,26.881078
65.127732,100,26.978012
64.394275,100,27.077939
64.358141,100,28.580883
64.735303,100,28.678813
63.490343,100,28.776743
63.949585,100,28.874676
63.877193,100,28.971606
64.814751,100,29.069538
63.561096,100,29.167469
63.286242,100,29.2654
63.78024,100,29.362331
64.963373,100,29.460263
64.51739,100,29.558193
63.825177,100,29.656125
63.83478,100,29.754056
63.862419,100,29.850989
64.536781,100,29.94892
63.225916,100,30.046849
63.590028,100,30.14478
64.405355,100,30.244712
63.745029,100,30.341644
64.204409,100,30.439573
63.973223,100,30.536505
64.636996,100,32.074422
64.719175,100,32.175351
64.51739,100,32.273283
62.98141,100,32.371213
65.127732,100,32.469145
63.808249,100,32.566078
64.719175,100,32.664007
65.127732,100,32.760939
65.127732,100,32.857873
64.51739,100,32.955802
64.22844,100,33.052734
63.516159,100,33.151664
64.476454,100,33.249595
63.570514,100,33.347527
65.127732,100,33.445458
64.203632,100,33.543389
64.108834,100,33.640321
64.476454,100,33.738251
65.127732,100,33.836182
63.747922,100,33.934115
63.306248,100,35.43206
64.454601,100,35.532988
64.169775,100,35.629919
65.127732,100,35.727854
65.127732,100,35.824782
64.340636,100,35.921714
63.959372,100,36.018647
63.8237,100,36.116577
63.891043,100,36.214509
63.05848,100,36.311442
64.128224,100,36.40937
65.045552,100,36.506302
65.127732,100,36.604234
63.897422,100,36.715155
65.127732,100,36.815086
64.273192,100,36.912017
65.127732,100,37.009948
64.312096,100,37.10688
63.907048,100,37.205811
64.310619,100,37.303741
64.454601,100,37.400673
64.435211,100,38.913608
63.854601,100,39.01254
65.045552,100,39.112468
64.001847,100,39.210399
63.871037,100,39.30833
64.108834,100,39.406262
64.599569,100,39.504192
63.316097,100,39.602123
64.801354,100,39.700054
65.045552,100,39.797985
65.127732,100,39.894917
64.169775,100,39.992849
62.950754,100,40.090779
65.045552,100,40.188711
64.963373,100,40.286641
64.51739,100,40.383573
63.327178,100,40.481505
64.476454,100,40.578436
65.045552,100,40.676368
64.05848,100,40.7733
64.10514,100,42.273243
63.035272,100,42.373172
64.476454,100,42.473102
62.754448,100,42.571034
63.946814,100,42.668963
65.045552,100,42.766895
65.045552,100,42.865826
64.476454,100,42.963758
63.782456,100,43.061689
64.536781,100,43.159619
63.461065,100,43.260549
64.801354,100,43.35848
63.825177,100,43.45641
63.782456,100,43.553343
64.801354,100,43.651273
64.963373,100,43.749206
64.405355,100,43.846135
64.476454,100,43.944068
64.801354,100,44.040999
64.801354,100,44.13893
64.51739,100,44.23786
63.946814,100,45.775789
65.045552,100,45.876707
65.045552,100,45.976635
63.767929,100,46.078565
64.092829,100,46.179492
65.127732,100,46.279423
64.476454,100,46.376354
64.719175,100,46.475284
64.210403,100,46.576213
64.801354,100,46.676145
63.284703,100,46.775075
64.599569,100,46.874005
63.180979,100,46.973934
64.435211,100,47.071865
61.721145,100,47.171795
63.864635,100,47.270725
63.862419,100,47.369656
64.599569,100,47.466588
63.621914,100,47.562521
63.287081,100,47.660452
64.963373,100,49.160396
63.86988,100,49.261324
65.127732,100,49.358256
64.405355,100,49.455188
63.836257,100,49.555118
64.364112,100,49.653048
65.127732,100,49.750978
61.904155,100,49.847912
63.78024,100,49.943842
64.394275,100,50.041774
64.285811,100,50.139707
64.210403,100,50.237636
63.889812,100,50.335568
64.310619,100,50.434499
63.100215,100,50.53143
64.435211,100,50.627363
64.150077,100,50.724294
64.191013,100,50.821225
62.9241,100,50.919158
64.801354,100,51.016088
64.51739,100,51.114019
63.864635,100,52.626954
63.225916,100,52.724885
63.792736,100,52.823816
63.550015,100,52.922748
63.286242,100,53.020677
62.28932,100,53.11861
64.150077,100,53.218538
62.358818,100,53.316469
64.419206,100,53.413401
64.392798,100,53.510332
64.394275,100,53.608263
63.587442,100,53.705196
64.565405,100,53.804125
64.801354,100,53.902058
63.877193,100,53.99899
63.946814,100,54.09592
65.127732,100,54.198847
63.538258,100,54.29678
63.907048,100,54.39371
64.07787,100,54.491642
64.599569,100,56.00058
62.256263,100,56.100509
62.171807,100,56.199452
64.801354,100,56.297371
62.484149,100,56.395303
63.632995,100,56.493233
64.585719,100,56.592163
63.232749,100,56.690094
63.50165,100,56.788025
62.481213,100,56.884957
63.79132,100,56.981889
63.250947,100,57.078821
62.948784,100,57.176752
64.228601,100,57.283676
64.485257,100,57.387602
64.187319,100,57.486534
65.045552,100,57.585464
63.506925,100,57.684395
63.564666,100,57.782325
63.675469,100,57.880256
64.121453,100,57.977189
64.435211,100,59.506112
64.098677,100,59.604044
64.078978,100,59.700975
63.959434,100,59.798906
61.51068,100,59.895837
63.8237,100,59.993769
62.877562,100,60.093699
63.83595,100,60.19163
62.519237,100,60.289561
62.701324,100,60.386493
62.84229,100,60.484423
64.260265,100,60.581354
62.133949,100,60.679286
63.021176,100,60.776218
64.353032,100,60.874149
64.476454,100,60.971081
63.550816,100,61.069013
64.191013,100,61.165943
63.457371,100,61.265873
64.133864,100,61.363805
62.380179,100,62.884735
64.719175,100,62.983671
63.959372,100,63.081596
62.98024,100,63.183523
61.350816,100,63.315431
63.981366,100,63.47132
64.392798,100,63.673179
64.150077,100,63.776105
63.632995,100,63.88503
63.019144,100,63.98598
65.045552,100,64.092884
63.866113,100,64.193812
64.161157,100,64.292743
63.529147,100,64.390673
64.801354,100,64.489602
64.067898,100,64.589534
63.265261,100,64.689466
62.99573,100,64.787394
63.055894,100,64.885327
63.238289,100,64.983257
62.779932,100,65.135149
64.026654,100,66.840949
62.677932,100,66.93888
63.024192,100,67.035811
64.700831,100,67.135741
62.532225,100,67.235671
61.85337,100,67.334602
64.191013,100,67.432534
64.161157,100,67.530462
63.211881,100,67.628394
63.752601,100,67.725327
62.290428,100,67.82226
63.864635,100,67.919189
63.297014,100,68.02012
64.273192,100,68.125044
62.020068,100,68.224974
65.045552,100,68.322906
61.478732,100,68.420836
62.639312,100,68.517768
62.248261,100,68.617697
64.801354,100,68.716628
61.958018,100,70.257544
63.15611,100,70.361471
60.994521,100,70.498375
62.330132,100,70.600302
64.474977,100,70.711225
62.581287,100,70.831139
64.026654,100,70.942062
62.319768,100,71.065975
64.719175,100,71.182892
64.963373,100,71.351773
61.168298,100,71.458698
62.04389,100,71.579612
61.933395,100,71.682551
61.91749,100,71.788465
62.155002,100,71.893393
63.477255,100,72.046284
60.818467,100,72.150211
63.233056,100,72.27912
62.187504,100,72.413026
63.375377,100,72.528944
63.580671,100,72.668847
63.33795,100,74.416615
61.791505,100,74.572505
61.974946,100,74.682429
62.210526,100,74.784358
64.165159,100,74.906271
62.419144,100,75.013196
64.012927,100,75.154096
64.394275,100,75.30599
62.231702,100,75.41891
63.142259,100,75.525834
63.984241,100,75.642753
64.801354,100,75.771289
63.29137,100,75.878216
64.191013,100,75.98514
64.504463,100,76.143028
64.071407,100,76.289924
62.341951,100,76.398848
61.910311,100,76.509769
62.267036,100,76.621691
65.045552,100,76.727618
62.412312,100,78.404571
63.214835,100,78.508057
63.052508,100,78.605988
