# {"t_start": 1546863216.6860743, "env_id": "OneShotGo-v0"} 
r,l,t
61.575641,100,5.96114
61.682079,100,11.140954
61.575641,100,16.171757
61.438416,100,21.351453
61.585391,100,26.903392
61.942933,100,32.201182
61.579731,100,37.562641
61.829159,100,42.994707
61.816043,100,48.726422
61.106311,100,54.737135
61.702269,100,60.309323
61.829159,100,65.411413
61.942933,100,70.733196
61.45519,100,76.098616
61.802926,100,81.86234
61.991727,100,87.200319
61.45796,100,92.601044
61.702269,100,97.952909
60.028475,100,103.029856
61.682884,100,108.726596
61.288153,100,115.289875
61.942933,100,120.407936
61.829159,100,125.76851
61.357359,100,131.017419
62.056708,100,136.457462
61.429238,100,141.780831
61.658762,100,147.14747
61.725271,100,153.10173
60.592683,100,159.391806
61.542683,100,164.875386
61.575641,100,170.137306
61.942933,100,175.379126
61.929817,100,180.610206
61.829159,100,185.693355
62.284256,100,190.764183
61.942933,100,195.878754
61.829159,100,201.061542
61.942933,100,206.15797
60.976599,100,211.344984
61.167156,100,216.80127
60.788686,100,223.436671
60.43332,100,228.521503
60.614714,100,233.635779
61.507201,100,238.918251
61.52554,100,244.115041
61.298409,100,249.291651
61.371925,100,254.530746
61.472118,100,259.629747
60.640549,100,264.727935
60.135828,100,269.817372
61.616056,100,274.887352
61.334274,100,280.178425
60.703394,100,285.408028
61.572274,100,290.626757
61.324642,100,295.811717
61.816043,100,300.978336
61.942933,100,306.276399
62.169393,100,311.513778
61.036848,100,316.930724
61.210868,100,322.131219
61.962917,100,327.269791
62.056708,100,333.801725
61.733566,100,339.041824
60.979479,100,344.245169
61.689416,100,349.464204
61.829159,100,354.671716
61.942933,100,359.898152
61.829159,100,365.118678
61.231015,100,370.387706
60.853827,100,375.525065
61.331846,100,380.689238
60.853208,100,385.840823
62.037177,100,390.974813
60.865713,100,396.081507
61.829159,100,401.404794
61.829159,100,406.509817
61.834223,100,411.600413
61.199224,100,416.675518
61.448049,100,421.791493
60.84071,100,426.894842
61.282962,100,431.981162
61.084411,100,438.569085
60.736159,100,443.645576
60.957984,100,448.739416
60.981722,100,453.863018
61.557816,100,459.119893
60.464729,100,465.083406
61.11209,100,471.052094
61.669903,100,476.361841
61.829159,100,481.65441
60.688721,100,486.904857
61.942933,100,492.108182
61.942933,100,497.253346
61.829159,100,502.509874
60.772763,100,507.692439
60.937837,100,513.054927
61.942933,100,518.419187
61.143332,100,523.648562
60.619023,100,528.951739
61.472118,100,534.12573
61.669903,100,539.496097
61.429238,100,544.688685
61.942933,100,551.217094
61.559472,100,556.316038
60.716685,100,561.389777
61.722747,100,566.499365
61.702269,100,571.597717
61.445384,100,576.67505
61.829159,100,581.719917
61.942933,100,586.809909
61.678336,100,591.901223
60.813586,100,597.010732
61.556129,100,602.118147
