# {"t_start": 1546767752.8316886, "env_id": "Pap-v0"} 
r,l,t
11.317613,100,0.996298
10.11039,100,1.096229
9.221192,100,1.194161
8.374426,100,1.291091
8.772784,100,1.389022
8.282895,100,1.486953
6.734716,100,1.583885
9.090321,100,1.679817
9.922263,100,1.77775
10.415839,100,1.875679
7.984931,100,1.97661
6.952241,100,2.074539
7.93133,100,2.171471
10.84653,100,2.268404
10.240061,100,2.369332
7.390274,100,2.471261
9.079917,100,2.568191
8.614974,100,2.664125
7.865484,100,2.761057
8.286456,100,2.860987
9.536591,100,4.421888
7.714497,100,4.518819
10.476967,100,4.614752
9.153048,100,4.711683
9.457983,100,4.809614
10.998824,100,4.906548
7.987376,100,5.003479
8.419448,100,5.100409
9.283164,100,5.197342
7.835839,100,5.294273
8.785596,100,5.392205
8.9668,100,5.489136
11.229171,100,5.587068
7.30077,100,5.684
8.800356,100,5.78093
8.992315,100,5.878861
9.572668,100,5.976793
8.422446,100,6.073724
9.055744,100,6.170655
7.9638,100,6.267587
11.390082,100,7.778525
9.901582,100,7.878455
10.258434,100,8.026349
10.277232,100,8.12428
7.484605,100,8.222211
8.689628,100,8.319143
10.943247,100,8.417076
10.031241,100,8.515006
9.113909,100,8.611938
8.639743,100,8.70887
10.879735,100,8.806801
10.274656,100,8.904732
7.86806,100,9.003662
10.828773,100,9.100596
8.655514,100,9.197524
8.779663,100,9.295456
8.790397,100,9.392388
10.74937,100,9.489319
8.374744,100,9.592247
9.403032,100,9.69018
10.010724,100,9.787112
11.142372,100,11.291053
12.203922,100,11.387983
7.75502,100,11.484915
10.003217,100,11.581848
7.690674,100,11.678779
7.343008,100,11.774712
10.678028,100,11.872652
10.72161,100,11.969573
8.239251,100,12.066505
8.765515,100,12.163436
9.312679,100,12.260369
8.081797,100,12.357301
9.758672,100,12.456232
10.728434,100,12.554162
8.188751,100,12.651095
10.103663,100,12.749026
9.242526,100,12.845969
10.351298,100,12.945888
8.281622,100,13.042818
9.618691,100,13.13975
11.560508,100,14.644691
11.095968,100,14.74462
9.004102,100,14.841553
